date,n_killed,address,lat,long,
01/01/2017,1,3000 block of Danville Road Memphis,35.0669615,-89.9178386,
01/01/2017,0,N 24th St and Sprague St Omaha,41.2959973,-95.9491616,
01/01/2017,0,S 27th St and Polk St Omaha,41.1918213,-95.9550317,
01/01/2017,0,2134 Glendale Ave Erie,42.1310171,-80.0286741,
01/01/2017,0,200 block of S Knoxville St Portales,34.1862419,-103.3258479,
01/01/2017,0,2800 block of Fairfield Ave Richmond,37.5487946,-77.4009917,
01/01/2017,0,6th St and Ave C Portales,-20.016542,57.5646115,
01/01/2017,0,1800 block of W 17th Ln Portales,34.1725104,-103.3587456,
01/01/2017,0,E 140th St and Kinsman Rd Cleveland,41.464354,-81.5868368,
01/01/2017,0,5000 block of Massachusetts Avenue Indianapolis,39.8056103,-86.0963227,
01/01/2017,0,4000 block of N Euclid Ave Indianapolis,39.8292388,-86.096448,
01/01/2017,0,12000 block of Pecan Gate Manor,-20.016542,57.5646115,
01/01/2017,0,400 block of Pecan St Abilene,32.4452828,-99.7337035,
01/01/2017,0,900 block of North Pennsylvania St Indianapolis,39.779174,-86.1580007,
01/01/2017,0,3400 block of Casino Way Robinsonville,34.826443,-90.3372897,
01/01/2017,0,600 block of Stockton Street Richmond,37.52182,-77.4397199,
01/01/2017,0,South Meridian St. and Georgia St. Indianapolis,39.7641846,-86.1603971,
01/01/2017,0,300 block of Centre Street Trenton,40.209726,-74.7616752,
01/01/2017,1,1900 Block of W Williard St Philadelphia,-20.016542,57.5646115,
01/01/2017,0,Valentine Ave and E 181st St Bronx,40.8540764,-73.9015107,
01/01/2017,0,300 block of S Beechfield Ave Baltimore,39.2808098,-76.6968952,
01/01/2017,0,8000 block of NW 14th Ave Miami,25.8482772,-80.2238032,
01/01/2017,0,Riverview Street Georgetown,-20.016542,57.5646115,
01/01/2017,0,315 Sutter Ave Brooklyn,40.6680071,-73.9103616,
01/01/2017,0,9 Mile Rd and Dabbs House Rd Richmond,37.541382,-77.3839158,
01/01/2017,0,Bethel Street Greenville,34.859,-82.3848749,
01/01/2017,3,Ross Rd Anacoco,31.2486965,-93.3368047,
01/01/2017,0,I 225 Aurora,39.7002053,-104.8313831,
01/01/2017,0,6330 Lawrenceville Hwy Tucker,33.8666066,-84.188044,
01/01/2017,0,8206 Philips Hwy Jacksonville,30.219596,-81.5887351,
01/01/2017,0,18th St and Larimer St Denver,39.7510625,-104.9971951,
01/01/2017,0,West 29th Street and Surf Avenue Brooklyn,40.5729311,-73.997092,
01/01/2017,0,5020 Cleveland Rd Jacksonville,30.3645715,-81.7107296,
01/01/2017,0,2500 block of W Starr St Peoria,40.6739512,-89.635187,
01/01/2017,0,3165 N State Road 9 Anderson,40.1523476,-85.6756143,
01/01/2017,0,12th Avenue S Naples,26.1322385,-81.8020881,
01/01/2017,0,653 Stanley Ave Brooklyn,40.659269,-73.8867347,
01/01/2017,0,3000 block of Culpepper Rd Alexandria,31.2638182,-92.4612807,
01/01/2017,2,Faust and Tireman Detroit,42.3505436,-83.2232453,
01/01/2017,0,114 North Greyer Street Winstonville,33.9139987,-90.7536818,
01/01/2017,1,508 Indianola Avenue Des Moines,41.5485661,-93.5943363,
01/01/2017,1,3rd St and Oakdale Ave San Francisco,37.7347855,-122.3928453,
01/01/2017,1,26th and Shotwell San Francisco,37.7492471,-122.4170757,
01/01/2017,1,706 South Jupiter Road Allen,33.0917198,-96.6661033,
01/01/2017,0,N Fayetteville St Asheboro,35.7432631,-79.8100477,
01/01/2017,1,14235 Burnham St Houston,29.6002854,-95.4300403,
01/01/2017,0,Easton Ave Buffalo,42.927552,-78.8105707,
01/01/2017,0,Wyoming Ave Buffalo,42.923876,-78.8264767,
01/01/2017,0,2192 Niagara St Buffalo,42.9422306,-78.910255,
01/01/2017,1,564 Talmadge Rd Allenhurst,31.7678914,-81.6327219,
01/01/2017,0,2738 W Tharpe St Tallahassee,30.4682371,-84.3436007,
01/01/2017,0,800 block of N Oakland Ave Indianapolis,39.7779536,-86.1154856,
01/01/2017,0,Archdale Dr Charlotte,35.1501042,-80.870642,
01/01/2017,1,1800 block of W. Fayette St Baltimore,39.28976,-76.6476566,
01/01/2017,0,17000 block of NW 66th Terrace Reddick,29.4023767,-82.2351479,
01/01/2017,0,1046 Pine Ridge Rd Naples,26.2105959,-81.8009005,
01/01/2017,0,17000 block of NE Country Road 314 Marion (county),-20.016542,57.5646115,
01/01/2017,0,5900 block of Lucy Crest Cove Memphis,35.0725864,-89.868649,
01/01/2017,1,Ardmore Ave & Standish Ln Villa Park,41.856046,-87.9799004,
01/01/2017,0,3736 Candlers Mountain Rd Lynchburg,37.3592347,-79.1734877,
01/01/2017,1,9220 Skillman Street Dallas,32.9022012,-96.7165014,
01/01/2017,0,1409 W Lincoln Ave Peoria,40.6815897,-89.6173073,
01/01/2017,4,1100 block of Old Barnwell Road West Columbia,33.943219,-81.1750924,
01/01/2017,0,Edmund St Peoria,40.6694105,-89.6017158,
01/01/2017,1,600 block of High Street Klamath Falls,42.2257818,-121.7864862,
01/01/2017,0,2900 block of Harford Rd Baltimore,39.3228987,-76.5907456,
01/01/2017,0,3800 block of Lyndale Ave Baltimore,39.3171894,-76.5675947,
