date,n_killed,address,lat,long
01/01/2015,0,4840 South Memorial Dr Tulsa,36.0935039,-95.8892849
01/01/2015,0,Nugget Court Hattiesburg,31.336099,-89.3326248
01/01/2015,0,Bessemer Superhighway and Avenue P Bessemer,-20.016542,57.5646115
01/01/2015,0,2200 block of North Narragansett Avenue Chicago,41.9201759,-87.7878578
01/01/2015,0,5000 block of West Fulton Street Chicago,41.8858933,-87.7527373
01/01/2015,0,5600 block of West Fullerton Chicago,41.9244326,-87.7689127
01/01/2015,1,200 block of Richmond Street Plainfield,40.623844,-74.418998
01/01/2015,0,6700 block of South California Avenue Chicago,41.7718121,-87.6954
01/01/2015,0,800 block of North 13th Street Lafayette,40.424717,-86.8853748
01/01/2015,0,6300 block of South Cottage Grove Avenue Chicago,41.780183,-87.6085367
01/01/2015,0,Warrensville Center Road Cleveland,41.4666455,-81.5384527
01/01/2015,0,4000 Grand Avenue Chattanooga,35.0063925,-85.3200967
01/01/2015,0,Big Neck Road Ash,-20.016542,57.5646115
01/01/2015,1,200 block of Fairwood Avenue Charlotte,35.2021713,-80.8723329
01/01/2015,0,Broadhead Avenue Jamestown,42.0824501,-79.2381108
01/01/2015,0,Macanthra Drive Charlotte,35.2994608,-80.6946279
01/01/2015,1,Bruce Street and Maryland Parkway Las Vegas,36.1786129,-115.1275884
01/01/2015,0,3400 blk of 22nd Washington,38.9136027,-77.0509054
01/01/2015,0,4500 block of Wheatley Street Orlando,28.5212498,-81.4387784
01/01/2015,0,Unit blk of I ST SW. Washington,-20.016542,57.5646115
01/01/2015,1,22000 block of Commerce Way Grand Terrace,34.0322014,-117.3277518
01/01/2015,0,4840 S Memorial Drive Tulsa,36.0935039,-95.8892849
01/01/2015,0,3900 block of West Chicago Avenue Chicago,41.8955876,-87.7259868
01/01/2015,0,3500 South Cliff Avenue Sioux Falls,43.5128775,-96.7127084
01/01/2015,0,2135 Wabash Ave Terre Haute,39.469854,-87.3860912
01/01/2015,0,Wegman Parkway and Ocean Avenue Jersey City,40.7034866,-74.0827781
01/01/2015,1,5800 block of North Philip Street Chester,-20.016542,57.5646115
01/01/2015,1,1400 block of Culhane Street Chester,39.840572,-75.3997897
01/01/2015,0,3700 block of E. Manhattan Street Toledo,41.68858,-83.4959886
01/01/2015,0,Front and Main Toledo,-20.016542,57.5646115
01/01/2015,0,4200 block of East Prairie Avenue Saint Louis,38.668355,-90.2187477
01/01/2015,0,Marshland Road Hilton Head Island,32.1962376,-80.7369557
01/01/2015,1,38800 block of Highway 20 Concrete,-20.016542,57.5646115
01/01/2015,1,1300 block of West 12th Street Merced,37.3005806,-120.5006508
01/01/2015,0,1700 block of Lowell Street Seaside,36.6121355,-121.8383891
01/01/2015,0,1611 Barnum Avenue Bridgeport,41.1880646,-73.1633471
01/01/2015,1,1235 Wilson Place Hammond,41.5803258,-87.500026
01/01/2015,0,1100 block of North Rockbridge Street Covington,37.8049569,-79.9908394
01/01/2015,0,2600 block of Shields Street Philadelphia,39.9194991,-75.2330383
01/01/2015,0,13th and Douglas Omaha,-20.016542,57.5646115
01/01/2015,0,5500 block of Whitby Road Baltimore,39.3339459,-76.534262
01/01/2015,0,Hayes Avenue and Bell Street Sandusky,41.4458523,-82.7111438
01/01/2015,1,314 W. Eighth Avenue Winfield,37.2415736,-97.0027728
01/01/2015,0,21600 block of East 11th Street Tulsa,35.9951461,-95.9164167
01/01/2015,0,6600 block of South California Chicago,41.7735175,-87.6957707
01/01/2015,0,7900 block of South St. Louis Avenue Chicago,41.7493708,-87.7120994
01/01/2015,0,3000 block of South Highland Drive Las Vegas,36.135459,-115.1758487
01/01/2015,0,Interstate 240 and Poplar Avenue Memphis,-20.016542,57.5646115
01/01/2015,0,11020 Laibacher Avenue Downey,-20.016542,57.5646115
01/01/2015,0,E. Austin Avenue Flint,43.0695266,-83.696172
01/01/2015,0,Carolina Beach Road Wilmington,34.177743,-77.9286638
01/01/2015,0,Holton Street Tallahassee,30.4199057,-84.2983867
01/01/2015,1,500 block of Woodland Hills Rd Poteet,29.1352732,-98.5825544
01/01/2015,0,1000 block of McLaughlin Avenue San Jose,37.3344808,-121.8569809
01/01/2015,0,609 W. Ninth St. Lakeland,28.0618431,-81.9650246
01/01/2015,0,101 Union Ave Jackson County,-20.016542,57.5646115
01/01/2015,0,Bruton Boulevard and Columbia Street Orlando,28.5269755,-81.428283
01/01/2015,0,3200 block of Broad Street Sumter County,33.9633374,-80.4208602
01/01/2015,0,1100 block of South Williams Street Westmont,41.7755511,-87.987064
01/01/2015,0,Sunn Aire Court Wilmington,34.2453211,-77.8975939
01/01/2015,1,13797 Warwick Boulevard Newport News,37.1240476,-76.5336123
01/01/2015,0,100 block of Autumn Leaf Peachtree City,33.3855294,-84.5668883
01/01/2015,1,1590 Highway 319 East Dublin,32.5809896,-82.8390476
01/01/2015,0,351 East Washington Avenue Elmira,42.1017658,-76.8074931
01/01/2015,1,Appaloosa Lane Buford,34.0625207,-83.9774761
01/01/2015,0,1200 block of Benning Road Washington,38.9001596,-76.9852503
01/01/2015,0,2700 block of Rachel Road Champaign,40.1221107,-88.2924428
01/01/2015,0,2801 DeKalb Medical Parkway DeKalb County,33.7058319,-84.150228
01/01/2015,0,300 Ramsey St Bluefield,37.2674978,-81.2257154
01/01/2015,1,9600 block of Milestone Way Washington,-20.016542,57.5646115
01/01/2015,1,79000 block of Camelback Drive Bermuda Dunes,33.7429235,-116.2808697
01/01/2015,0,2700 block of N. Holton St Milwaukee,43.0675094,-87.9074814
01/01/2015,0,1400 block of Veterans Drive Elkhart,41.7027827,-86.0189599
01/01/2015,0,1271 Route 22 W Bridgewater,40.5787251,-74.5826135
01/01/2015,1,55 Marjorie Street Battle Creek,42.30765,-85.1635892
01/01/2015,0,4300 block of Lasalle Avenue Baltimore,39.3377604,-76.5512602
01/01/2015,0,400 block of Fairburn Road Atlanta,33.7434076,-84.5107489
01/01/2015,0,2000 Hawthorne Avenue Waterloo,42.4808982,-92.3262961
01/01/2015,1,Sams Creek Road Cheatham County,36.1691551,-87.0478099
01/01/2015,1,7225 Bancroft Ave Oakland,37.7657981,-122.1798536
01/01/2015,0,500 block of N. Fulton Ave Baltimore,39.293819,-76.6478692
01/01/2015,0,2900 block of Olney Street Indianapolis,39.8088332,-86.1097118
01/01/2015,1,5700 block of Callie Lane Sacramento County,38.65996,-121.3335587
01/01/2015,0,6531 West Broad Street Henrico,37.5991626,-77.5173636
01/01/2015,0,North Street Pittsfield,42.4712799,-73.2467539
01/01/2015,0,715 Monroe St Toledo,41.6503017,-83.5430623
01/01/2015,0,900 block of Kensington Avenue Buffalo,42.9354236,-78.8228664
01/01/2015,1,1071 E. Capitol Expressway San Jose,37.3013826,-121.8245981
01/01/2015,2,11500 block of 161st Avenue Southeast Renton,47.4996394,-122.1278516
01/01/2015,0,720 Stamford St. Stamford,-20.016542,57.5646115
01/01/2015,0,1300 block of Highway 133 Moultrie,31.2294989,-83.8096037
01/01/2015,0,800 block of West Emory Street Marshall,32.5307104,-94.3771564
01/01/2015,0,1600 block of N. Larchmont Drive Sandusky,41.4469618,-82.688701
01/01/2015,0,4300 block of Charleston Drive Colorado Springs,38.7892953,-104.7535207
01/01/2015,0,700 block of Childs Avenue Hampton,37.0052902,-76.3999869
01/01/2015,0,5000 block of Whisper Valley Drive Memphis,35.0227943,-89.8684184
01/01/2015,0,100 block of South Terry Street Dayton,39.7607358,-84.1733435
01/01/2015,0,2800 block of Burger Avenue Dallas,32.7649634,-96.7654941
01/01/2015,0,Cranklen Circle Clarksville,36.6132635,-87.4209096
01/01/2015,0,5000 block of Club Drive Chattanooga,35.0134699,-85.2287413
01/01/2015,0,4th Street Centuria,-20.016542,57.5646115
01/01/2015,1,7400 block of Fair Oaks Loop SE Olympia,46.9902308,-122.7848697
01/01/2015,1,3000 block of Edwardsville St Bunker Hill,39.0453309,-90.0138088
01/01/2015,0,5001 South Padre Island Dr. Corpus Christi,27.7107537,-97.3837284
01/01/2015,1,671 Westchester Avenue Bronx,40.8173264,-73.9094191
01/01/2015,0,2100 block of South Polk Amarillo,35.1908893,-101.842873
01/01/2015,0,Johnson and Clinton Avenues Newark,-20.016542,57.5646115
01/01/2015,0,Broad and Market Streets Newark,-20.016542,57.5646115
01/01/2015,0,7th and Summer Avenues Newark,-20.016542,57.5646115
01/01/2015,1,811 Eastlake Street Houston,29.644593,-95.2357968
01/01/2015,0,Bell Street Lagrange,33.0247894,-85.0284742
01/01/2015,0,15682 Colorado Highway 172 Ignacio,37.1204111,-107.6346108
01/01/2015,0,300 block of Chestnut Street Medford,-20.016542,57.5646115
01/01/2015,0,100 block of East Wilcox Avenue Peoria,40.7211248,-89.5839651
01/01/2015,1,900 block of South Emerson Idaho Falls,43.4896003,-112.0311046
01/01/2015,1,217 West Beard Avenue Syracuse,43.0259094,-76.1517817
01/01/2015,0,800 block of Short Street Tarentum,-20.016542,57.5646115
01/01/2015,1,8000 block of John Robert Drive Oklahoma City,35.3870064,-97.4220944
01/01/2015,0,1500 block of Vann Ave Evansville,37.9568998,-87.5129835
01/01/2015,0,Jackson Wood Court Hattiesburg,-20.016542,57.5646115
01/01/2015,0,18497 Dunne Avenue Parksley,37.7824626,-75.6552276
01/01/2015,0,600 block of Edwards Street Portsmouth,36.82223,-76.3027927
01/01/2015,0,Virginia Avenue Jersey City,40.7159935,-74.0865312
01/01/2015,0,2217 East 28th St Lorain,41.4459554,-82.1212273
01/01/2015,0,402 West Ridge Road Rochester,43.2001953,-77.6397373
01/01/2015,0,Portland Avenue Rochester,43.1890057,-77.5863901
